Tiempo1,Aceleracion1,Tiempo2,Aceleracion2,Tiempo3,Aceleracion3,Tiempo4,Aceleracion4,Tiempo5,Aceleracion5,Tiempo6,Aceleracion6,Tiempo7,Aceleracion7,Tiempo8,Aceleracion8,Tiempo9,Aceleracion9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0046707653417819,-2151.9320400730207,0.0046736141381374,-8314.102693600338,0.0046822168888189,-834.2736128537797,0.0046790232130555,-380.8056007592392,0.0046820545136891,-165.8847166941114,0.00468213309192,761.1053383719037,0.0046817979043241,-356.18376603068253,0.0046788517425327,165.998268226657,0.004678780470437151,3315.1335613516135
0.0093415306835639,-1550.369219779881,0.0093472282762748,1935.5582990392325,0.0093644337776379,73.18189586436665,0.009358046426111,-2001.670465529336,0.0093641090273782,2502.907637178801,0.00936426618384,1029.4437589517415,0.0093635958086482,-2507.924051229737,0.0093577034850654,522.406314713303,0.009357560940874301,2626.7184919104097
0.0140122960253459,430.3864080146042,0.0140208424144122,3656.054564851883,0.0140466506664569,-48.78793057624469,0.0140370696391665,-2172.5447735623266,0.0140461635410673,3146.930654932411,0.01404639927576,619.6178075207165,0.0140453937129723,-3264.20465033598,0.0140365552275981,1337.7507498265888,0.014036341411311451,-332.00159377306295
0.0186830613671279,1697.0918588757686,0.0186944565525496,4921.98789679926,0.0187288675552759,2000.305153626021,0.018716092852222,-620.0296320054285,0.0187282180547565,1122.161318813108,0.01872853236768,-239.06513833476453,0.0187271916172965,-785.5559771361625,0.0187154069701308,1196.1639916332638,0.018715121881748602,-1913.891540574127
0.0233538267089099,1648.1843125104726,0.023368070690687,2126.181464853701,0.0234110844440949,3483.458243143851,0.0233951160652776,1264.4698794441415,0.0234102725684456,-1097.7665075345624,0.0234106654596,-404.9470710568461,0.0234089895216206,1810.1942081833304,0.0233942587126635,-97.6460401333274,0.023393902352185754,-2885.4844399982376
0.0280245920506919,288.5545235552458,0.0280416848288244,-1050.8712987207946,0.0280933013329139,1288.0013672128537,0.0280741392783331,1718.5073265032331,0.0280923270821347,-2458.9969768774176,0.02809279855152,-931.8661514681646,0.0280907874259447,3386.185392127311,0.0280731104551963,-1742.9818163798989,0.028072682822622902,-1933.421046090191
0.0326953573924739,-1100.4197932191576,0.0327152989669618,-3582.737962615551,0.0327755182217329,-1527.0622270364502,0.0327531624913886,1191.2380331442878,0.0327743815958238,-1834.489808146648,0.0327749316434401,-1717.3658917109606,0.0327725853302689,1502.8027388691814,0.032751962197729,-2192.153600993204,0.03275146329306006,1669.7727216233445
0.0373661227342559,-1530.8062012337637,0.0373889131050992,-2918.000769006113,0.0374577351105518,-3717.640309909825,0.0374321857044441,-117.17095407976628,0.037456436109513,-117.0950941370198,0.0374570647353601,-24.394401870894487,0.037454383234593,-644.0583166582202,0.0374308139402617,-1074.1064414666048,0.037430243763497205,4345.314977323914
0.0420368880760378,-645.5796120219067,0.0420625272432366,-596.30836485552,0.0421399519993708,-3410.276347279485,0.0421112089174997,-1840.5604036696573,0.0421384906232021,1717.3947140096247,0.0421391978272801,2888.297181513893,0.0421361811389171,-2220.049500602198,0.0421096656827944,810.4621331066201,0.04210902423393435,2411.893931233723
0.0467076534178198,645.5796120219056,0.046736141381374,2482.9889290705314,0.0468221688881898,-600.0915460878066,0.0467902321305552,-2934.1559750808065,0.0468205451368912,1858.8846194251937,0.0468213309192001,2551.6544356955465,0.0468179790432412,-2239.5664192888107,0.0467885174253271,2338.622661193196,0.04678780470437151,-429.6491213533752
0.0513784187596018,1506.3524280511133,0.0514097555195114,3372.563702871392,0.0515043857770088,3220.003418032132,0.0514692553436107,-190.4028003796197,0.0515025996505804,478.13830105949785,0.0515034640111201,24.394401870894487,0.0514997769475654,-190.2899571944743,0.0514673691678598,2123.801372899875,0.051466585174808656,-2914.7786982723333
0.0560491841013838,1599.2767661451778,0.0560833696576488,498.5528952070747,0.0561866026658278,3790.822205774197,0.0561482785566662,3222.20123719356,0.0561846541642695,-765.9970741463385,0.0561855971030401,-2527.260033824656,0.0561815748518895,1166.1358915251103,0.0561462209103926,165.99826822665693,0.056145365645245804,-4555.257161621586
0.0607199494431658,-332.5713152840125,0.0607569837957863,-3509.421360379212,0.0608688195546468,1717.3351562838036,0.0608273017697218,3529.7749916529506,0.0608667086779586,-1239.256412950129,0.0608677301949601,-3176.1511235904413,0.0608633727562136,883.1405705692259,0.0608250726529253,-1528.1605280865788,0.06082414611568296,-1454.9481609466573
0.0653907147849478,-7433.947047524963,0.0654305979339237,-2487.876702552958,0.0655510364434658,-1117.243610195997,0.0655063249827773,502.8586779256629,0.0655487631916477,-644.0230177536104,0.0655498632868802,-1380.723145892619,0.0655451706605378,263.47840226927224,0.065503924395458,-1767.3933264132263,0.06550292658612011,2480.2472005399386
0.0700614801267298,2533.4109017223304,0.0701042120720611,1700.9451718829605,0.0702332533322847,-2863.8515248255435,0.0701853481958328,-1884.4995114495696,0.0702308177053369,-931.8817908404484,0.0702319963788002,1644.1826860982826,0.0702269685648619,429.37221110548006,0.0701827761379907,-1093.6356494932706,0.07018170705655725,4125.608040268216
0.0747322454685118,4900.536145802656,0.0747778262101985,3700.0445261936807,0.0749154702211037,-2600.396699713832,0.0748643714088883,-5013.940409996653,0.074912872219026,-619.6282064750645,0.0749141294707202,3078.573516106864,0.074908766469186,736.7636804196305,0.0748616278805234,473.5832946466395,0.07486048752699441,2294.716898137345
